county_code,year,tva,treat,post,ln_agriculture,ln_manufacturing,agriculture_share_1920,agriculture_share_1930,manufacturing_share_1920,manufacturing_share_1930,ln_avg_farm_value_1920,ln_avg_farm_value_1930,white_share_1920,white_share_1930,white_share_1920_sq,white_share_1930_sq,county_has_no_missing
01001,1920,0,0,0,8.486115455627441,6.406879901885986,0.7741574645042419,0.6891891956329346,0.09678965061903,0.07048457860946655,4.744932174682617,5.008637428283691,0.43431350588798523,0.4461764991283417,0.18862822651863098,0.19907346367835999,TRUE
01001,1930,0,0,0,8.636229515075684,6.356107711791992,0.7741574645042419,0.6891891956329346,0.09678965061903,0.07048457860946655,4.744932174682617,5.008637428283691,0.43431350588798523,0.4461764991283417,0.18862822651863098,0.19907346367835999,TRUE
01001,1940,0,0,0,8.387539863586426,6.663132667541504,0.7741574645042419,0.6891891956329346,0.09678965061903,0.07048457860946655,4.744932174682617,5.008637428283691,0.43431350588798523,0.4461764991283417,0.18862822651863098,0.19907346367835999,TRUE
01001,1950,0,0,1,7.781973361968994,7.138072967529297,0.7741574645042419,0.6891891956329346,0.09678965061903,0.07048457860946655,4.744932174682617,5.008637428283691,0.43431350588798523,0.4461764991283417,0.18862822651863098,0.19907346367835999,TRUE
01001,1960,0,0,1,7.11639404296875,7.261927127838135,0.7741574645042419,0.6891891956329346,0.09678965061903,0.07048457860946655,4.744932174682617,5.008637428283691,0.43431350588798523,0.4461764991283417,0.18862822651863098,0.19907346367835999,TRUE
01003,1920,0,0,0,8.3525543212890625,7.099201679229736,0.6364045739173889,0.5631067752838135,0.18172268569469452,0.12340293079614639,5.0106353759765625,5.741004943847656,0.7687891721725464,0.7594471573829651,0.5910367965698242,0.5767599940299988,TRUE
01003,1930,0,0,0,8.598040580749512,7.080026626586914,0.6364045739173889,0.5631067752838135,0.18172268569469452,0.12340293079614639,5.0106353759765625,5.741004943847656,0.7687891721725464,0.7594471573829651,0.5910367965698242,0.5767599940299988,TRUE
01003,1940,0,0,0,8.267962455749512,7.20414924621582,0.6364045739173889,0.5631067752838135,0.18172268569469452,0.12340293079614639,5.0106353759765625,5.741004943847656,0.7687891721725464,0.7594471573829651,0.5910367965698242,0.5767599940299988,TRUE
01003,1950,0,0,1,8.226305961608887,7.559559345245361,0.6364045739173889,0.5631067752838135,0.18172268569469452,0.12340293079614639,5.0106353759765625,5.741004943847656,0.7687891721725464,0.7594471573829651,0.5910367965698242,0.5767599940299988,TRUE
01003,1960,0,0,1,7.585788726806641,8.137395858764648,0.6364045739173889,0.5631067752838135,0.18172268569469452,0.12340293079614639,5.0106353759765625,5.741004943847656,0.7687891721725464,0.7594471573829651,0.5910367965698242,0.5767599940299988,TRUE
01005,1920,0,0,0,9.358760833740234,4.6151204109191895,0.8156951069831848,0.7256637215614319,0.007102172821760178,0.10768981277942657,4.442651271820068,4.622974872589111,0.39436179399490356,0.4245489537715912,0.1555212289094925,0.18024180829524994,TRUE
01005,1930,0,0,0,9.100013732910156,7.1921820640563965,0.8156951069831848,0.7256637215614319,0.007102172821760178,0.10768981277942657,4.442651271820068,4.622974872589111,0.39436179399490356,0.4245489537715912,0.1555212289094925,0.18024180829524994,TRUE
01005,1940,0,0,0,8.7503662109375,7.4547200202941895,0.8156951069831848,0.7256637215614319,0.007102172821760178,0.10768981277942657,4.442651271820068,4.622974872589111,0.39436179399490356,0.4245489537715912,0.1555212289094925,0.18024180829524994,TRUE
01005,1950,0,0,1,8.429017066955566,7.589335918426514,0.8156951069831848,0.7256637215614319,0.007102172821760178,0.10768981277942657,4.442651271820068,4.622974872589111,0.39436179399490356,0.4245489537715912,0.1555212289094925,0.18024180829524994,TRUE
01005,1960,0,0,1,7.436617374420166,7.4604902267456055,0.8156951069831848,0.7256637215614319,0.007102172821760178,0.10768981277942657,4.442651271820068,4.622974872589111,0.39436179399490356,0.4245489537715912,0.1555212289094925,0.18024180829524994,TRUE
01007,1920,0,0,0,8.27817440032959,6.917705535888672,0.3789220452308655,0.42465752363204956,0.09720885753631592,0.04085058718919754,4.499809741973877,4.834283828735352,0.6622450947761536,0.6691049337387085,0.4385685622692108,0.44770142436027527,TRUE
01007,1930,0,0,0,8.018115997314453,5.676753997802734,0.3789220452308655,0.42465752363204956,0.09720885753631592,0.04085058718919754,4.499809741973877,4.834283828735352,0.6622450947761536,0.6691049337387085,0.4385685622692108,0.44770142436027527,TRUE
01007,1940,0,0,0,7.774855613708496,6.167516708374023,0.3789220452308655,0.42465752363204956,0.09720885753631592,0.04085058718919754,4.499809741973877,4.834283828735352,0.6622450947761536,0.6691049337387085,0.4385685622692108,0.44770142436027527,TRUE
01007,1950,0,0,1,7.1891679763793945,6.95844841003418,0.3789220452308655,0.42465752363204956,0.09720885753631592,0.04085058718919754,4.499809741973877,4.834283828735352,0.6622450947761536,0.6691049337387085,0.4385685622692108,0.44770142436027527,TRUE
01007,1960,0,0,1,6.282266616821289,7.467370986938477,0.3789220452308655,0.42465752363204956,0.09720885753631592,0.04085058718919754,4.499809741973877,4.834283828735352,0.6622450947761536,0.6691049337387085,0.4385685622692108,0.44770142436027527,TRUE
01009,1920,0,0,0,8.862908363342285,5.303304672241211,0.8237146139144897,0.75,0.023434767499566078,0.028083140030503273,4.828313827514648,5.047857761383057,0.9444748759269714,0.9618486762046814,0.89203280210495,0.9251528978347778,TRUE
01009,1930,0,0,0,9.001931190490723,5.71702766418457,0.8237146139144897,0.75,0.023434767499566078,0.028083140030503273,4.828313827514648,5.047857761383057,0.9444748759269714,0.9618486762046814,0.89203280210495,0.9251528978347778,TRUE
